Question Text,Generated Query,Ground Truth Query,BLEU Score,Exact Match
What acts and artists are associated with people who have worked with Divertis?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mrunalini_Kunte> <http://dbpedia.org/ontology/relative> ?uri },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/associatedActs> <http://dbpedia.org/resource/Divertis> . ?x <http://dbpedia.org/ontology/associatedMusicalArtist> ?uri  . },0.278552565,0
What are some parties which have people from Mangalore as a member?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Mangalore> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/placeOfBirth> <http://dbpedia.org/resource/Mangalore> . ?x <http://dbpedia.org/property/party> ?uri  . },0.278552565,0
Name the largest city in the county where there is a Cy-Fair High School.,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Mangalore> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cy-Fair_High_School> <http://dbpedia.org/ontology/county> ?x . ?x <http://dbpedia.org/ontology/largestCity> ?uri  . },0.278552565,0
What are some products of the the company whose subsidiary is Sony Corp shareholders and subsidies?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/owningCompany> <http://dbpedia.org/resource/Sony> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/subsidiary> <http://dbpedia.org/resource/Sony_Corporation_shareholders_and_subsidiaries> . ?uri <http://dbpedia.org/ontology/manufacturer> ?x  . },0.278552565,0
Who built the stadiums where 2014 FIFA under 17 woman's world cup took place?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Stadium> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/tenant> <http://dbpedia.org/resource/2014_FIFA_U-17_Women's_World_Cup> . ?x <http://dbpedia.org/ontology/builder> ?uri  . },0.278552565,0
"In which country's cuisine, ham is an important part?",SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/mainIngredient> <http://dbpedia.org/resource/Ham> . ?x <http://dbpedia.org/property/country> ?uri  . },0.278552565,0
"List all the movies whose directors were born in Kenosha, Wisconsin?",SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Presenter> },"SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Kenosha,_Wisconsin> . ?uri <http://dbpedia.org/property/director> ?x  . }",0.278552565,0
What is manufactured by a company headed by Kazuo Hirai?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Stadium> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/keyPeople> <http://dbpedia.org/resource/Kazuo_Hirai> . ?uri <http://dbpedia.org/ontology/manufacturer> ?x  . },0.278552565,0
Under which presidents have politicians from the Continental army served?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Stadium> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Continental_Army> . ?x <http://dbpedia.org/property/president> ?uri  . },0.278552565,0
Give me list of people who were the first to climb a peak in the Yosemite park?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Musical> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Yosemite_National_Park> . ?x <http://dbpedia.org/ontology/firstAscentPerson> ?uri  . },0.278552565,0
Who did their highschool from a school whose mascot was a fighting tiger?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/predecessor> <http://dbpedia.org/resource/Austin_London_Taxicab> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/mascot> <http://dbpedia.org/resource/Fighting_Tiger> . ?uri <http://dbpedia.org/ontology/highschool> ?x  . },0.278552565,0
What are some team members of the team based in Camp Nou?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/predecessor> <http://dbpedia.org/resource/Austin_London_Taxicab> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/homeStadium> <http://dbpedia.org/resource/Camp_Nou> . ?x <http://dbpedia.org/property/name> ?uri  . },0.278552565,0
What are the other notable work of the executive producer of The Runaway Bride episode of Doctor Who?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Origin_(band)> <http://dbpedia.org/ontology/genre> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Runaway_Bride_(Doctor_Who)> <http://dbpedia.org/ontology/executiveProducer> ?x . ?x <http://dbpedia.org/property/notableworks> ?uri  . },0.278552565,0
Who were involved in the wars where Jonathan Haskell battled?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/MilitaryConflict> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jonathan_Haskell> <http://dbpedia.org/property/battles> ?x . ?x <http://dbpedia.org/property/combatant> ?uri  . },0.278552565,0
What are the awards won by the person who wrote the screen play for Lost in Rio ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/OSS_117:_Lost_in_Rio> <http://dbpedia.org/property/screenplay> ?x . ?x <http://dbpedia.org/property/awards> ?uri  . },0.278552565,0
What are the regions in which the distributor of Secrets and Lies serves ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Region> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Secrets_and_Lies_(U.S._TV_series)> <http://dbpedia.org/ontology/distributor> ?x . ?x <http://dbpedia.org/ontology/regionServed> ?uri  . },0.278552565,0
In which states does the river flow whose left tributary is Toms Creek?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Toms_Creek_(Monocacy_River)> <http://dbpedia.org/ontology/leftTributary> ?x . ?x <http://dbpedia.org/ontology/state> ?uri  . },0.278552565,0
What was the career of some people who have committed suicide?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Suicide> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/deathCause> <http://dbpedia.org/resource/Suicide> . ?x <http://dbpedia.org/ontology/occupation> ?uri  . },0.278552565,0
What is the television show whose related with  Doctor Who Confidential?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Doctor_Who_Confidential> <http://dbpedia.org/ontology/related> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/related> <http://dbpedia.org/resource/Doctor_Who_Confidential>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},0.274888766,0
In which countries is coconut used as a food ingredient?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Food> ; <http://dbpedia.org/ontology/ingredient> <http://dbpedia.org/resource/Coconut> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/ingredient> <http://dbpedia.org/resource/Coconut> . ?x <http://dbpedia.org/property/country> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Food>},0.270136876,0
Who is the office holder with deputies as Neil Brown and Andrew Peacock?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/OfficeHolder> },SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/deputy> <http://dbpedia.org/resource/Neil_Brown_(Australian_politician)> . ?uri <http://dbpedia.org/property/deputy> <http://dbpedia.org/resource/Andrew_Peacock> . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/OfficeHolder>},0.26986439,0
Which sea is surrounded by Rostock and Kaliningrad?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Kaliningrad> },SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/cities> <http://dbpedia.org/resource/Rostock> . ?uri <http://dbpedia.org/property/cities> <http://dbpedia.org/resource/Kaliningrad> . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Sea>},0.26986439,0
What is the band with previous members  Kevin Jonas and Joe Jonas?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Band> },SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/pastMembers> <http://dbpedia.org/resource/Kevin_Jonas> . ?uri <http://dbpedia.org/property/pastMembers> <http://dbpedia.org/resource/Joe_Jonas> . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Band>},0.26986439,0
Which senator served in military units VMF-155 and VMF-218?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Senator> },SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/militaryUnit> <http://dbpedia.org/resource/VMF-155> . ?uri <http://dbpedia.org/ontology/militaryUnit> <http://dbpedia.org/resource/VMF-218> . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Senator>},0.26986439,0
What automobile engine's successor is BMW M40,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/BMW_M40> <http://dbpedia.org/ontology/successor> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/BMW_M40>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/AutomobileEngine>},0.264496722,0
Which artist married to Lee Krasner?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lee_Krasner> <http://dbpedia.org/ontology/spouse> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/spouse> <http://dbpedia.org/resource/Lee_Krasner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>},0.264496722,0
Which researchers received fellowship from Royal Society?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Scientist> ; <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Royal_Society> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Royal_Society>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>},0.262025101,0
List the comic characters created by Joe Shuster ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/FictionalCharacter> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/creators> <http://dbpedia.org/resource/Joe_Shuster>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ComicsCharacter>},0.252711486,0
What movies have been written by authors of Monty Python ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Python_(film)> <http://dbpedia.org/ontology/starring> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/writer> <http://dbpedia.org/resource/Monty_Python>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>},0.252711486,0
Georg Meissner was doctoral supervisor of which scientist ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Scientists> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/Georg_Meissner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>},0.252711486,0
What is the magazine which have been  founded by Ralph J. Gleason?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Magazine> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/Ralph_J._Gleason>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>},0.252711486,0
Which artists trained in San Francisco Art Institute?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Artist> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/training> <http://dbpedia.org/resource/San_Francisco_Art_Institute>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>},0.252711486,0
Which country's leader  is Giuseppe Bertello?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/leader> <http://dbpedia.org/resource/Giuseppe_Bertello>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},0.252711486,0
Who are the astronauts associated with NASA?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/NASA>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Astronaut>},0.252711486,0
What is the television show whose executive producer is Douglas Netter?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Toru�> <http://xmlns.com/foaf/0.1/nick> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/executiveProducer> <http://dbpedia.org/resource/Douglas_Netter>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},0.252711486,0
What musicians are signed up with colpix records?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/MusicalArtist> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Colpix_Records>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>},0.252711486,0
Who is a religious figure titled superior general?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Religious> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/Superior_general>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Religious>},0.252711486,0
What is the company to which Fusajiro Yamauchi proprietor to ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Fusajiro_Yamauchi>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company>},0.252711486,0
What famous politician died in the Petersen House?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Politicians> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/deathPlace> <http://dbpedia.org/resource/Petersen_House>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},0.252711486,0
What is the country with native language as Languages of Ethiopia?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Language_(journal)> <http://dbpedia.org/ontology/country> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Languages_of_Ethiopia>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country>},0.252711486,0
List the people with Scientology as their religious belief?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Scientology> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Scientology>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},0.252711486,0
Which scientist was advised by John Robert Woodyard?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Scientists> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/John_Robert_Woodyard>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>},0.252711486,0
Who is the fictional character whose relative is Vestigial Peter?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/relative> <http://dbpedia.org/resource/Vestigial_Peter>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FictionalCharacter>},0.252711486,0
What magazine companies are of form Limited liability company?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/company> <http://dbpedia.org/resource/Limited_liability_company>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Magazine>},0.252711486,0
Name few movies directed by Tim Burton ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Work> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/director> <http://dbpedia.org/resource/Tim_Burton>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>},0.252711486,0
Which footballers did their high school in west Sacramento california?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Work> },"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/highSchool> <http://dbpedia.org/resource/West_Sacramento,_California>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/AmericanFootballPlayer>}",0.252711486,0
What are some orthonychidae birds?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Bird> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Orthonychidae>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Bird>},0.252711486,0
What is the baseball team whose club manager is Chip Hale?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BaseballTeam> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/manager> <http://dbpedia.org/resource/Chip_Hale>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BaseballTeam>},0.252711486,0
What stadium's operator is Stan Kroenke,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Stadium> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/operator> <http://dbpedia.org/resource/Stan_Kroenke>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Stadium>},0.252711486,0
What river originates in Kingston Ontario?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Ontario> },"SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/sourceLocation> <http://dbpedia.org/resource/Kingston,_Ontario>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/River>}",0.252711486,0
What are the settlements whose neighboring municipalities is Lancy?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Municipality> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/neighboringMunicipalities> <http://dbpedia.org/resource/Lancy>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>},0.252711486,0
Did Stanlee write the Tales of Suspense?,ASK WHERE { <http://dbpedia.org/resource/Tales_of_Suspense> <http://dbpedia.org/ontology/writer> ?city . ?city <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Suspense> },ASK WHERE { <http://dbpedia.org/resource/Tales_of_Suspense> <http://dbpedia.org/property/writers> <http://dbpedia.org/resource/Stan_Lee> },0.24808415,0
Did Alexandre Tichonov study at the Moscow university?,ASK WHERE { <http://dbpedia.org/resource/Alexandre_Tichonov> <http://dbpedia.org/ontology/university> ?city . ?city a <http://dbpedia.org/ontology/University> },ASK WHERE { <http://dbpedia.org/resource/Alexandre_Tichonov> <http://dbpedia.org/property/university> <http://dbpedia.org/resource/Moscow> },0.24808415,0
Which company's cars are assembled in Colombia?,SELECT DISTINCT ?uri WHERE { ?uri ?county_var <http://dbpedia.org/resource/Colombia> ; a <http://dbpedia.org/ontology/Company> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/assembly> <http://dbpedia.org/resource/Colombia> . ?x <http://dbpedia.org/property/parentCompany> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Automobile>},0.247091828,0
Give me the home town of all musical artists who uses Guitar as instrument ?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Guitar_(Peter_Lang_album)> ; a <http://dbpedia.org/ontology/Artist> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/instrument> <http://dbpedia.org/resource/Guitar> . ?x <http://dbpedia.org/ontology/hometown> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>},0.247091828,0
List the debut team of the baseball player who born in Houston.,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/BaseballPlayer> ; <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Houston> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/birthPlace> <http://dbpedia.org/resource/Houston> . ?x <http://dbpedia.org/ontology/debutTeam> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/BaseballPlayer>},0.247091828,0
List all the writers of the comics which has Robert Bernstein as one of the writer ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Comic> ; <http://dbpedia.org/ontology/writer> <http://dbpedia.org/resource/Robert_Bernstein_(comics)> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/writers> <http://dbpedia.org/resource/Robert_Bernstein_(comics)> . ?x <http://dbpedia.org/property/writers> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Comic>},0.247091828,0
List the television shows one of whose distributor's divisions is Warner Bros. Animation.,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/distributor> <http://dbpedia.org/resource/Warner_Bros._Animation> ; a <http://dbpedia.org/ontology/TelevisionShow> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/divisions> <http://dbpedia.org/resource/Warner_Bros._Animation> . ?uri <http://dbpedia.org/property/distributor> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>},0.247091828,0
What disease led to the demise of Letitia MacTavish Hargrave and Martino Martini ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Presenter> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Letitia_MacTavish_Hargrave> <http://dbpedia.org/ontology/deathCause> ?uri. <http://dbpedia.org/resource/Martino_Martini> <http://dbpedia.org/ontology/deathCause> ?uri . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Disease>},0.239836635,0
List the mammals whose taxonomy is Diprotodontia and phylum is Chordate?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/phylum> <http://dbpedia.org/resource/Chordate> ; a <http://dbpedia.org/ontology/Mammal> },SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/order> <http://dbpedia.org/resource/Diprotodontia> . ?uri <http://dbpedia.org/ontology/phylum> <http://dbpedia.org/resource/Chordate>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mammal>},0.238791902,0
Count the  total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia?,SELECT (COUNT(?uri) AS ?count) WHERE { ?uri <http://dbpedia.org/ontology/order> <http://dbpedia.org/resource/Diprotodontia> },SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/phylum> <http://dbpedia.org/resource/Chordate> . ?uri <http://dbpedia.org/ontology/order> <http://dbpedia.org/resource/Diprotodontia> },0.238017613,0
Where did the scientist study whose doctoral thesis was supervised by Leonard Lerman?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Scientists> ; ?county_var <http://dbpedia.org/resource/Germany> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/Leonard_Lerman> . ?x <http://dbpedia.org/property/almaMater> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>},0.237750635,0
Which venues are located at places governed by John Roberts?,SELECT DISTINCT ?uri WHERE { ?uri ?county_var <http://dbpedia.org/resource/Australia> ; a <http://dbpedia.org/ontology/River> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/leader> <http://dbpedia.org/resource/John_Roberts> . ?uri <http://dbpedia.org/property/address> ?x  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Venue>},0.237750635,0
What is the religion of the person who founded the Emel magazine?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Magazine> ; <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Irreligion> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Emel_(magazine)> <http://dbpedia.org/property/founder> ?x . ?x <http://dbpedia.org/ontology/religion> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>},0.237750635,0
To which places do the flights go by airlines headquartered in the UK?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Airlines> },SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/headquarters> <http://dbpedia.org/resource/United_Kingdom> . ?x <http://dbpedia.org/property/destinations> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Airline>},0.237750635,0
